SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
2000067,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,,,7.5,7.25,6.25,6.6,,2023
2000068,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8.5,6.75,6.25,,,,,9.75,2023
2000069,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,4.5,5.5,6.5,,,,,8.5,2023
2000070,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.75,,,6.0,7.0,7.0,8.2,,2023
2000071,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.25,6.5,6.5,,,,9.6,9.0,2023
2000072,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,7.75,7.0,7.25,8.4,,2023
2000073,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,3.75,5.5,,,,8.6,9.0,2023
2000074,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,5.0,4.5,,,,8.6,7.5,2023
2000075,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.0,6.25,6.25,,,,7.6,9.0,2023
2000076,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.25,,,4.0,7.0,5.75,,,2023
2000077,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.75,,,7.5,6.0,6.25,8.6,,2023
2000078,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.0,,,7.25,6.25,6.25,8.0,,2023
2000079,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.75,6.5,6.5,,,,8.2,8.5,2023
2000080,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.75,,,8.75,7.5,5.75,6.4,,2023
2000081,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.5,,,7.75,7.25,8.0,7.2,,2023
2000082,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,,,4.75,7.25,4.75,6.4,,2023
2000083,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.75,,,6.75,6.5,5.25,8.4,,2023
2000084,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,6.0,,,7.25,7.75,7.75,8.0,,2023
2000085,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,,,4.75,7.75,7.75,8.2,,2023
2000086,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,7.75,6.0,,,,8.2,9.5,2023
2000087,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.25,,,7.0,6.0,5.25,9.2,,2023
2000088,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.75,,,8.25,3.0,5.25,8.6,,2023
2000089,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.0,,,8.0,7.25,6.75,9.0,,2023
2000090,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,7.5,7.5,6.75,7.4,,2023
2000091,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,7.5,7.75,,,,,9.5,2023
2000092,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,5.5,7.25,8.5,7.4,,2023
2000093,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,8.0,6.5,5.75,,,,9.0,7.25,2023
2000094,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.0,,,6.25,6.0,5.25,6.4,,2023
2000095,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.25,8.0,5.75,,,,8.0,10.0,2023
2000096,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.0,,,5.75,5.5,5.0,8.0,,2023
2000097,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.0,,,6.25,8.75,5.75,8.2,,2023
2000098,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.0,,,6.75,7.5,5.25,3.8,,2023
2000099,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.25,,,7.5,7.75,6.75,8.2,,2023
2000100,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,3.75,,,7.25,7.5,4.0,5.6,,2023
2000101,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,,,8.0,5.5,5.75,7.4,,2023
2000102,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.0,,,8.0,7.0,6.75,8.2,,2023
2000103,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,4.0,7.5,8.5,,,2023
2000104,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.0,,,5.5,5.25,4.5,6.6,,2023
2000105,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,8.0,8.0,6.5,,,,,9.25,2023
2000106,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,7.0,7.0,4.5,,,,8.2,6.5,2023
2000107,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.25,,,5.5,6.25,4.25,8.6,,2023
2000108,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,8.0,6.25,6.5,8.2,,2023
2000109,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.0,,,8.5,7.25,7.0,9.4,,2023
2000110,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.0,,,6.5,6.75,8.5,9.2,,2023
2000111,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,,,7.5,7.0,4.75,8.2,,2023
2000112,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.5,7.5,6.5,,,,9.2,7.75,2023
2000113,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,7.5,7.0,6.0,8.4,,2023
2000114,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,5.5,6.0,6.0,9.6,,2023
2000115,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,7.0,6.75,5.25,5.8,,2023
2000116,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.8,6.75,,,8.75,7.0,6.75,9.0,,2023
2000117,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.0,,,6.0,5.75,5.5,9.0,,2023
2000118,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.25,,,8.25,7.25,7.0,7.6,,2023
2000119,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,6.0,5.75,6.25,8.6,,2023
2000120,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.25,,,8.25,7.5,6.5,7.0,,2023
2000121,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.0,,,7.0,7.25,8.25,9.0,,2023
2000122,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.5,7.5,6.25,,,,8.6,8.5,2023
2000123,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,,,4.75,7.0,8.5,5.8,,2023
2000124,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,5.0,,,4.5,6.25,6.5,8.2,,2023
2000125,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.75,8.5,6.75,,,,8.0,8.0,2023
2000126,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.75,,,6.0,6.5,7.0,8.6,,2023
2000127,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.25,,,7.5,8.0,5.0,7.6,,2023
2000128,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.0,,,7.0,5.25,6.0,8.0,,2023
2000129,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,4.5,,,6.5,8.5,7.25,5.8,,2023
2000130,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.0,,,6.75,5.75,6.5,9.2,,2023
2000131,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.0,,,5.75,7.25,5.0,7.0,,2023
2000132,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,4.0,,,8.0,5.5,5.5,8.4,,2023
2000133,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.0,,,7.25,6.5,7.25,6.6,,2023
2000134,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.0,7.75,6.5,,,,8.6,8.5,2023
2000135,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.0,,,4.0,7.5,7.0,9.6,,2023
2000136,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.0,,,6.75,6.5,6.5,6.0,,2023
2000137,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,,,8.0,7.0,6.75,9.2,,2023
2000138,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.0,,,8.75,7.5,5.5,8.4,,2023
2000139,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.5,4.75,5.75,,,,8.2,7.5,2023
2000140,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.25,,,4.0,7.75,6.0,8.4,,2023
2000141,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,8.25,7.5,7.0,,,,8.8,8.5,2023
2000142,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.5,,,4.75,6.25,5.5,8.4,,2023
2000143,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,8.25,6.0,5.0,,,,8.6,8.25,2023
2000144,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,7.5,5.5,5.5,8.0,,2023
2000145,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,6.25,5.5,,,,8.8,8.75,2023
2000146,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,4.75,,,7.75,8.0,6.5,5.4,,2023
2000147,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,5.5,,,4.5,5.0,5.5,8.6,,2023
2000148,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,5.25,,,8.25,6.75,5.75,,,2023
2000149,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,7.25,6.75,6.0,6.2,,2023
2000150,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8.25,7.25,5.75,,,,8.8,8.75,2023
2000151,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.25,6.5,6.0,,,,8.4,7.75,2023
2000152,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8.0,,,8.75,6.75,7.75,9.6,,2023
2000153,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,8.5,8.0,8.25,,,,8.6,10.0,2023
2000154,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,7.75,7.25,7.5,,,,7.4,9.25,2023
2000155,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,,,4.25,5.75,4.25,9.4,,2023
2000156,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,6.75,6.25,,,,7.0,9.5,2023
2000157,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,7.25,7.5,7.0,9.2,,2023
2000158,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,7.0,7.5,6.5,9.0,,2023
2000159,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,6.5,6.25,,,,7.2,8.5,2023
2000160,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.0,6.75,6.0,,,,8.8,9.5,2023
2000161,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.75,,,5.5,6.75,8.0,7.8,,2023
2000162,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.75,9.25,6.25,,,,9.0,9.25,2023
2000163,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.5,,,6.0,5.75,8.0,8.6,,2023
2000164,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,8.25,8.0,6.25,,,,8.2,8.5,2023
2000165,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,8.25,8.0,6.75,,,,8.8,8.0,2023
2000166,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.75,,,4.5,5.5,4.5,6.0,,2023
2000167,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.25,,,7.0,7.75,4.75,8.4,,2023
2000168,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.0,,,6.75,5.75,7.25,7.8,,2023
2000169,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.0,,,6.5,7.25,6.0,7.4,,2023
2000170,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.25,,,5.5,8.25,6.5,7.2,,2023
2000171,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.0,,,4.5,7.25,4.25,8.6,,2023
2000172,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,5.25,,,7.0,6.75,6.5,8.0,,2023
2000173,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.0,,,9.0,7.0,8.25,8.8,,2023
2000174,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.0,,,7.75,6.25,5.25,9.4,,2023
2000175,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.0,,,7.5,4.75,6.0,8.6,,2023
2000176,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.0,,,6.5,4.75,5.75,9.0,,2023
2000177,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.5,,,6.0,6.75,4.75,5.2,,2023
2000178,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.0,,,8.5,4.25,3.75,8.8,,2023
2000179,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.0,,,5.75,8.25,5.0,8.2,,2023
2000180,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,7.0,8.5,6.5,5.6,,2023
2000181,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,4.0,,,8.25,7.75,7.25,8.6,,2023
2000182,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,6.0,7.0,6.25,9.2,,2023
2000183,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,7.0,6.25,6.25,,,2023
2000184,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,4.75,,,8.5,7.0,8.0,9.2,,2023
2000185,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,8.25,6.0,6.75,7.6,,2023
2000186,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.25,,,8.25,9.5,7.5,7.8,,2023
2000187,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,4.25,,,6.5,6.25,6.25,8.6,,2023
2000188,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.25,,,6.5,7.0,6.0,8.0,,2023
2000189,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,8.0,,,6.75,6.5,6.5,8.8,,2023
2000190,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.0,,,5.25,6.25,6.0,5.4,,2023
2000191,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.25,6.25,7.75,,,,8.6,8.25,2023
2000192,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.5,,,6.0,5.5,6.0,7.4,,2023
2000193,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5.5,5.5,5.0,,,,8.8,7.5,2023
2000194,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.0,,,4.75,5.0,4.5,,,2023
2000195,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.25,,,8.25,7.0,7.75,8.8,,2023
2000196,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.25,,,7.0,4.75,5.5,8.8,,2023
2000197,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,4.0,,,6.5,3.5,5.0,6.4,,2023
2000198,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.75,,,6.25,9.0,7.25,9.4,,2023
2000199,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.25,,,8.25,7.75,6.0,8.6,,2023
2000200,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5.75,,,5.5,8.5,6.75,6.4,,2023
2000201,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,4.25,,,6.25,3.75,4.5,8.0,,2023
2000202,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,6.5,,,6.0,7.0,6.5,8.6,,2023
2000203,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.75,,,4.25,6.0,5.5,8.0,,2023
2000204,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.75,,,7.75,6.5,6.75,7.8,,2023
2000205,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.0,,,7.25,6.0,7.5,8.2,,2023
2000206,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,6.25,8.25,7.0,,,,9.2,10.0,2023
2000207,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,6.75,,,5.25,4.75,5.75,8.6,,2023
2000208,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,8.0,7.75,5.25,,,,9.6,8.0,2023
2000209,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,6.5,4.75,3.75,7.6,,2023
2000210,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.0,,,8.75,6.5,6.0,8.4,,2023
2000211,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5.0,,,6.75,6.0,5.25,8.8,,2023
2000212,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,4.0,,,9.0,7.5,7.0,8.4,,2023
2000213,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.75,8.25,7.5,,,,9.0,9.75,2023
2000214,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,5.0,6.75,8.25,,,,,5.75,2023
2000215,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.25,,,5.5,8.0,6.0,9.0,,2023
2000216,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.25,3.5,5.0,,,,6.6,7.5,2023
2000217,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.25,,,7.5,7.25,6.5,9.0,,2023
2000218,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.25,,,4.5,7.75,5.25,8.6,,2023
2000219,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.0,,,4.5,6.25,5.75,8.0,,2023
2000220,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.0,,,5.25,5.5,5.5,8.0,,2023
2000221,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.25,,,6.25,4.5,5.75,8.8,,2023
2000222,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.75,5.25,5.75,,,,,8.0,2023
2011842,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.0,,,8.5,8.25,6.75,8.2,,2023
2011843,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,4.5,5.25,,,,8.6,9.0,2023
2011844,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,6.25,5.0,4.5,,,,6.4,5.75,2023
2011845,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.75,7.75,5.25,,,,8.0,9.5,2023
2011846,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.25,5.75,5.25,,,,3.8,6.75,2023
2011847,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8.25,7.75,6.75,,,,8.8,9.5,2023
